Sl. No.,School code,School name,School type,Level Name,Category,Sub District,Name Of HM,Number Of HM,Name Of SITC/PSITC,Number Of SITC/PSITC
570,16864,Pulinholi SBS ,Aided,1 - 7,"LP, UP",Vatakara,,,,
571,16865,Puduppanam North SBS ,Aided,1 - 7,"LP, UP",Vatakara,,,,
572,16866,Puduppanam SBS ,Aided,1 - 7,"LP, UP",Vatakara,,,,
573,16867,SGMSBS Vatakara ,Aided,1 - 7,"LP, UP",Vatakara,,,,
574,16868,Thazhekalari UPS ,Aided,1 - 7,"LP, UP",Vatakara,,,,
575,16869,Iringal SS UPS ,Aided,5 -7,UP,Vatakara,,,,
576,16870,Maniyur UPS ,Aided,5 -7,UP,Vatakara,,,,
577,16873,"ROTARY SCHOOL FOR HEARINGIMPAIRED,BADAGARA  ",Aided,1 - 7,"LP, UP",Vatakara,,,,
578,16005,Sree Narayana HSS Vatakara ,Unaided Recognised,5 - 12,"UP, HS, HSS",Vatakara,,,,
579,16078,Islamic Academy E H SKottakkal ,Unaided Recognised,1 - 12,"LP, UP, HS, HSS",Vatakara,,,,
580,16871,VIVA School for MentallyChallenged ,Unaided Recognised,1 - 7,"LP, UP",Vatakara,,,,
581,16874,Sree Narayana English MediumLP ,Unaided Recognised,1 - 4,LP,Vatakara,,,,
582,16875,St Antony's English Medium LP ,Unaided Recognised,1 - 4,LP,Vatakara,,,,
583,17001,Govt.Ganapat B.H.S Chalapuram ,Government,5 - 10,"UP, HS",Kozhikode city ,,,,
584,17002,G. G. H. S.S Kallai ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
585,17003,G. V. H. S. S Meenchanda ,Government,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
586,17004,G. V. H. S. S. Payyanakkal ,Government,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
587,17005,G H S S Azhchavattom ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
588,17007,G. V. H. S. S Kinassery ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
589,17010,G. V. H. S. S. For GirlsNadakkavu ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
590,17013,G. H. S. S. Easthill ,Government,8 - 12,"HS, HSS",Kozhikode city ,,,,
591,17015,G. H. S.S Karaparamba ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
592,17017,G. G. Model G. H. S. S.Chalappuram ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
593,17021,Govt Model H. S. S. Kozhikode ,Government,8 - 12,"HS, HSS",Kozhikode city ,,,,
594,17024,G. V. H. S.S Kuttichira ,Government,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
595,17037,Govt. Achuthan G. H. SChalappuram ,Government,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
596,17201,G. G. L. P. S. East Kallai ,Government,1 - 4,LP,Kozhikode city ,,,,
597,17202,G. A.G .L. P. S. Chalappuram ,Government,1 - 4,LP,Kozhikode city ,,,,
598,17203,G. L. P. S. Azhchavattam ,Government,1 - 4,LP,Kozhikode city ,,,,
599,17204,G. L. P. S. Byraikulam ,Government,1 - 4,LP,Kozhikode city ,,,,
600,17205,G. L. P. S. Kacheri ,Government,1 - 4,LP,Kozhikode city ,,,,
601,17206,G. L. P. S. Kacherikkunnu ,Government,1 - 4,LP,Kozhikode city ,,,,
602,17207,G. L. P. S. Kannancheri ,Government,1 - 4,LP,Kozhikode city ,,,,
603,17208,G. L. P. S. Kappakkal ,Government,1 - 4,LP,Kozhikode city ,,,,
604,17209,G. L. P. S. Karaparamba ,Government,1 - 4,LP,Kozhikode city ,,,,
605,17210,G. L. P. S. Kinasseri ,Government,1 - 4,LP,Kozhikode city ,,,,
606,17211,G. L. P. S. Kottummal ,Government,1 - 4,LP,Kozhikode city ,,,,
607,17212,G. L. P. S. Pallikandi ,Government,1 - 4,LP,Kozhikode city ,,,,
608,17213,G. L. P. S. Vellayil East ,Government,1 - 4,LP,Kozhikode city ,,,,
609,17214,G. L. P. S.Thoppayil ,Government,1 - 4,LP,Kozhikode city ,,,,
610,17215,G. L. P.S. Parappil ,Government,1 - 4,LP,Kozhikode city ,,,,
611,17234,G. G. U. P. S. Pokkunnu ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
612,17235,G. U. P. S. Bilathikulam ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
613,17236,G. U. P. S. Chindhavalappu ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
614,17237,G. U. P. S. Civil Station ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
615,17238,G. U. P. S. Kallai ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
616,17239,G. U. P. S. Kundungal ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
617,17240,G. U. P. S. Nadakkavu East ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
618,17241,G. U. P. S. Panniyankara ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
619,17242,G. U. P. S. Thali ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
620,17243,G. U. P. S. Thiruvannur ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
621,17244,G. F. U. P. S. Vellayil ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
622,17245,G. U. P. S. Vellayil West ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
623,17246,G. U. P. S. Malapparamba ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
624,17258,Govt. U. P. School Palat ,Government,5 -7,UP,Kozhikode city ,,,,
625,17261,GTTI(Men) Kozhikode ,Government,1 - 7,"LP, UP",Kozhikode city ,,,,
626,17262,GTTI(Women) Nadakkavu ,Government,1 - 4,LP,Kozhikode city ,,,,
627,17265,Technical Higher SecondarySchool Thiruthiyad ,Government,11 - 12,HSS,Kozhikode city ,,,,
628,17501,TECHNICAL HS KOZHIKODE ,Government,8 - 10,HS,Kozhikode city ,,,,
629,17008,Ramakrishna Mission H. S. S ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
630,17011,Providence Girls H. S. S ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
631,17012,St. Vincent's Colony Girls H SS ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
632,17014,St. Michael's H. S.S Westhill ,Aided,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
633,17016,B. E. M. G. H. S. S. Calicut ,Aided,5 - 10,"UP, HS",Kozhikode city ,,,,
634,17018,St. Joseph's Boys' H. S. S.Calicut ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
635,17020,St. Joseph`s Anglo IndianGirls H. S. S ,Aided,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
636,17022,M. M. V. H. S.S Kozhikode ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
637,17028,Zamorin's H. S. S. Kozhikode ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
638,17038,M. C. C. H.S.S .Calicut ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
639,17091,Himayathul Islam H. S. S ,Aided,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
640,17092,Calicut Girls H.S.S. ,Aided,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
641,17216,B. E. M. Girls L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
642,17217,B. E. M. L. P. SchoolKozhikode ,Aided,1 - 4,LP,Kozhikode city ,,,,
643,17218,Christuraja L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
644,17219,Francis Road A. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
645,17220,Ganapath L. P. S. West Kallai ,Aided,1 - 4,LP,Kozhikode city ,,,,
646,17221,Ganapath L. P. S. Chalappuram ,Aided,1 - 4,LP,Kozhikode city ,,,,
647,17223,Kommeri. A. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
648,17224,M. C. C. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
649,17225,M. M. L. P. S Parappil ,Aided,1 - 4,LP,Kozhikode city ,,,,
650,17226,Mathrubhandhu V. S. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
651,17227,Muneerul Islam L. P. S. ,Aided,1 - 4,LP,Kozhikode city ,,,,
652,17228,Providence L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
653,17229,S. R. K. M. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
654,17230,Sankaravilasam A. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
655,17231,St.Josephs L. P. S. ,Aided,1 - 4,LP,Kozhikode city ,,,,
656,17232,Talikulangara A. L. P. S ,Aided,1 - 4,LP,Kozhikode city ,,,,
657,17247,Atma A. U. P. S. Karaparamba ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
658,17248,B. E. M. U. P. S Bilathikulam ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
659,17249,B. E. M. U. P. S Puthiyara ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
660,17250,Govindapuram A. U. P. S ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
661,17251,M. I. U. P. S. Mooriyad ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
662,17252,N. M. U. P. S. Kallai ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
663,17253,St. Angelas A. U. P. S. ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
664,17254,St.Antonys A. U. P. S. ,Aided,1 - 7,"LP, UP",Kozhikode city ,,,,
665,17263,St.Vincent Colony T T ICalicut ,Aided,1 - 4,LP,Kozhikode city ,,,,
666,17603,"Karuna Speach and HearingSchool,Eranhipalam ",Aided,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
667,17009,N. S. S. H. S. S Meenchanda ,Unaided Recognised,1 - 12,"LP, UP, HS, HSS",Kozhikode city ,,,,
668,17019,Sree Gujarathi Vidyalaya H. S.S ,Unaided Recognised,5 - 12,"UP, HS, HSS",Kozhikode city ,,,,
669,17029,Dr.Ayyathan Gopalan M. E. M.H. S ,Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode city ,,,,
670,17106,J D T ISLAM IQRAA ENGLISHMEDIUM HIGH SCHOOL ,Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode city ,,,,
671,17116,Markaz International School ,Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode city ,,,,
672,17117,OLIVE ENGLISH MEDIUM HIGHSCHOOL ,Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode city ,,,,
673,17233,N. S. S. E.M.School Chalappuram ,Unaided Recognised,1 - 7,"LP, UP",Kozhikode city ,,,,
674,17255,C. S. I. E. M. School. ,Unaided Recognised,1 - 4,LP,Kozhikode city ,,,,
675,17264,St.Michael's EM SchoolWesthill ,Unaided Recognised,1 - 4,LP,Kozhikode city ,,,,
676,17266,St. George's English MediumSchool ,Unaided Recognised,1 - 4,LP,Kozhikode city ,,,,
677,17267,"Providence Junior School,Kozhikode ",Unaided Recognised,1 - 4,LP,Kozhikode city ,,,,
678,17034,G. H. S. S Iringallur ,Government,1 - 12,"LP, UP, HS, HSS",Kozhikode rural ,,,,
679,17054,G. H. S. S. Kuttikattur ,Government,5 - 12,"UP, HS, HSS",Kozhikode rural ,,,,
680,17059,G. H. S. S. Medical CollegeCampus ,Government,1 - 12,"LP, UP, HS, HSS",Kozhikode rural ,,,,
681,17062,G. H. S. S Peringolam ,Government,1 - 12,"LP, UP, HS, HSS",Kozhikode rural ,,,,
682,17083,G. H. S. S. Mavoor ,Government,8 - 12,"HS, HSS",Kozhikode rural ,,,,
683,17110,"E M S Govt HighSchool,Perumanna ",Government,8 - 12,"HS, HSS",Kozhikode rural ,,,,
684,17301,G. L. P. S. Cheruppa ,Government,1 - 4,LP,Kozhikode rural ,,,,
685,17302,G. L. P. S. Cherukulathur ,Government,1 - 4,LP,Kozhikode rural ,,,,
686,17303,G. L. P. S. Kanniparmba ,Government,1 - 4,LP,Kozhikode rural ,,,,
687,17304,G. L. P. S. Koodathumpara ,Government,1 - 4,LP,Kozhikode rural ,,,,
688,17305,G. L. P. S. Mundakkal ,Government,1 - 4,LP,Kozhikode rural ,,,,
689,17306,G. L. P. S. Olavanna ,Government,1 - 4,LP,Kozhikode rural ,,,,
690,17307,G. L. P. S. Payyadimeethal ,Government,1 - 4,LP,Kozhikode rural ,,,,
691,17308,G. L. P. S. Valayannur ,Government,1 - 4,LP,Kozhikode rural ,,,,
692,17309,G. L. P. S. Velliparamba ,Government,1 - 4,LP,Kozhikode rural ,,,,
693,17320,G L P S IRINGALLUR ,Government,1 - 4,LP,Kozhikode rural ,,,,
694,17332,G. U. P. S. Kodal ,Government,1 - 7,"LP, UP",Kozhikode rural ,,,,
695,17333,G. U. P. S. Manakkad ,Government,1 - 7,"LP, UP",Kozhikode rural ,,,,
696,17334,G. M. U. P. S. Mavoor ,Government,1 - 7,"LP, UP",Kozhikode rural ,,,,
697,99934,Sampoorna Test SchoolKozhikode ,Government,5 - 10,"UP, HS",Kozhikode rural ,,,,
698,17006,Pantheerankave H. S. ,Aided,5 - 12,"UP, HS, HSS",Kozhikode rural ,,,,
699,17052,SAVIO H. S. S. Devagiri ,Aided,5 - 12,"UP, HS, HSS",Kozhikode rural ,,,,
700,17310,A. L. P. S. Aduvad ,Aided,1 - 4,LP,Kozhikode rural ,,,,
701,17311,A. L. P. S. Cherukulathur East ,Aided,1 - 4,LP,Kozhikode rural ,,,,
702,17312,A. L. P. S. Kanniparamba ,Aided,1 - 4,LP,Kozhikode rural ,,,,
703,17313,A. L. P. S. Kayalam ,Aided,1 - 4,LP,Kozhikode rural ,,,,
704,17314,A. L. P. S. Kunnamkulangara ,Aided,1 - 4,LP,Kozhikode rural ,,,,
705,17315,A. L. P. S. Kuttikattur ,Aided,1 - 4,LP,Kozhikode rural ,,,,
706,17316,A. L. P. S. Moorkkanad ,Aided,1 - 4,LP,Kozhikode rural ,,,,
707,17317,A. L. P. S. Naduvattom ,Aided,1 - 4,LP,Kozhikode rural ,,,,
708,17318,A. L. P. S. Odumbra ,Aided,1 - 4,LP,Kozhikode rural ,,,,
709,17319,A. L. P. S. Olavanna ,Aided,1 - 4,LP,Kozhikode rural ,,,,
710,17321,A. L. P. S. Paingottupuram ,Aided,1 - 4,LP,Kozhikode rural ,,,,
711,17322,A. L. P. S. Perumanna ,Aided,1 - 4,LP,Kozhikode rural ,,,,
712,17323,A T AHAMMED MEMORIAL ALPSCHOOL POOVATTUPARAMBA ,Aided,1 - 4,LP,Kozhikode rural ,,,,
713,17324,A. L. P. S. Savio Devagiri ,Aided,1 - 4,LP,Kozhikode rural ,,,,
714,17325,A. M. L. P. S. Arathilparamba ,Aided,1 - 4,LP,Kozhikode rural ,,,,
715,17326,A. M. L. P. S. Kailamadam ,Aided,1 - 4,LP,Kozhikode rural ,,,,
716,17327,A. M. L. P. S. Kuttikattur ,Aided,1 - 4,LP,Kozhikode rural ,,,,
717,17328,A. M. L. P. S. Thumbayil ,Aided,1 - 4,LP,Kozhikode rural ,,,,
718,17329,A. M. L. P. S. Vellayicode ,Aided,1 - 4,LP,Kozhikode rural ,,,,
719,17330,A. M. L. P. S. Velliparamba ,Aided,1 - 4,LP,Kozhikode rural ,,,,
720,17331,A. L. P. S. Kovoor ,Aided,1 - 5,"LP, UP",Kozhikode rural ,,,,
721,17335,A. M. U. P. S. Kambliparamba ,Aided,1 - 7,"LP, UP",Kozhikode rural ,,,,
722,17336,A. M. U. P. S. Kunnamkulangara ,Aided,1 - 7,"LP, UP",Kozhikode rural ,,,,
723,17337,A. M. U. P. S. Puthurmadam ,Aided,1 - 7,"LP, UP",Kozhikode rural ,,,,
724,17338,A. U. P. S. Pantheerankavu ,Aided,1 - 7,"LP, UP",Kozhikode rural ,,,,
725,17339,K. C. M. U. P. S. Kachilatt ,Aided,1 - 7,"LP, UP",Kozhikode rural ,,,,
726,17340,St. Xavier`s U. P.S. Peruvayal ,Aided,1 - 7,"LP, UP",Kozhikode rural ,,,,
727,17023,CALICUT ISLAMIC RESIDENTIAL H.S. S ,Unaided Recognised,1 - 12,"LP, UP, HS, HSS",Kozhikode rural ,,,,
728,17109,Crescent Public School Mavoor ,Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode rural ,,,,
729,17115,"Saraswathi Vidya NikethanEnglish Medium High School,Pantheerankavu ",Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode rural ,,,,
730,17344,"Emerald EM School, Palazhi ",Unaided Recognised,1 - 4,LP,Kozhikode rural ,,,,
731,17345,"Gayathri Vidyanikethan,Peruvayal ",Unaided Recognised,1 - 4,LP,Kozhikode rural ,,,,
732,17346,"Hidaya E M School , Palazhi ",Unaided Recognised,1 - 7,"LP, UP",Kozhikode rural ,,,,
733,17347,I C C English Medium School ,Unaided Recognised,1 - 4,LP,Kozhikode rural ,,,,
734,17707,PRASANTHI SCHOOL FOR CHILDRENWITH SPECIAL NEEDS ,Unaided Recognised,1 - 7,"LP, UP",Kozhikode rural ,,,,
735,42296,Devagiri C M I Public School ,Unaided Recognised,1 - 12,"LP, UP, HS, HSS",Kozhikode rural ,,,,
736,42300,"Ashakiran School for thediffrently abled, Devagiri ",Unaided Recognised,1 -10,"LP, UP, HS",Kozhikode rural ,,,,
737,17030,Govt. Boys H. S.S.Parayanchery & G.V.H.S.SPuthiyara ,Government,5 - 12,"UP, HS, HSS",Chevazhur,,,,
738,17033,Govt. Girls H. S. Parayancheri ,Government,5 - 12,"UP, HS, HSS",Chevazhur,,,,
739,17049,N G O Quarters H S SVellimadukunnu ,Government,1 - 12,"LP, UP, HS, HSS",Chevazhur,,,,
740,17057,G. F. H. S. S. Puthiyappa ,Government,1 - 12,"LP, UP, HS, HSS",Chevazhur,,,,
741,17081,G. H. S. Kakkodi ,Government,8 - 12,"HS, HSS",Chevazhur,,,,
742,17100,G. H. S. Kunduparamba ,Government,1 - 12,"LP, UP, HS, HSS",Chevazhur,,,,
743,17401,G. L. P. S. Annassery ,Government,1 - 4,LP,Chevazhur,,,,
744,17402,G. L. P. S. ChelannurThamarassery ,Government,1 - 4,LP,Chevazhur,,,,
745,17403,G. L. P. S. Chevayur ,Government,1 - 4,LP,Chevazhur,,,,
746,17404,G. L. P. S. Kakkodi ,Government,1 - 4,LP,Chevazhur,,,,
747,17405,G. L. P. S. Kottooli ,Government,1 - 4,LP,Chevazhur,,,,
748,17406,G. L. P. S. Parayancheri ,Government,1 - 4,LP,Chevazhur,,,,
749,17407,G. L. P. S. Vengeri ,Government,1 - 4,LP,Chevazhur,,,,
750,17408,G. L. P. S Chelavur ,Government,1 - 4,LP,Chevazhur,,,,
751,17409,K T Muhammed Smaraka G L P SPUTHIYANGADI ,Government,1 - 4,LP,Chevazhur,,,,
752,17410,G. M. L. P. S. Elathur ,Government,1 - 4,LP,Chevazhur,,,,
753,17411,G. M. L. P. S. Thalakkulathur ,Government,1 - 4,LP,Chevazhur,,,,
754,17412,G. W. L. P. S. Palath ,Government,1 - 4,LP,Chevazhur,,,,
755,17443,G. L. P. S. Eranhikkal ,Government,1 - 5,"LP, UP",Chevazhur,,,,
756,17444,G. L. P. S. Varuthur ,Government,1 - 5,"LP, UP",Chevazhur,,,,
757,17449,G. M. U. P. S. Puthiyangadi ,Government,1 - 7,"LP, UP",Chevazhur,,,,
758,17450,G. U. P. S. Iruvallur ,Government,1 - 7,"LP, UP",Chevazhur,,,,
759,17451,G. U. P. S. Padinhattummuri ,Government,1 - 7,"LP, UP",Chevazhur,,,,
760,17452,G. U. P. S. Westhill ,Government,1 - 7,"LP, UP",Chevazhur,,,,
761,17472,"Kakkodi Grama Panchayath,Govt. U. P. S. Ottathengu ",Government,5 -7,UP,Chevazhur,,,,
762,17048,J D T Islam H S S Merikkunnu ,Aided,5 - 12,"UP, HS, HSS",Chevazhur,,,,
763,17055,C. M. C. Boys. H. S. Elathur ,Aided,5 - 10,"UP, HS",Chevazhur,,,,
764,17056,C. M. C. Girls. H. S. Elathur ,Aided,5 - 10,"UP, HS",Chevazhur,,,,
765,17058,P. V. S. H. S. Eranhikkal ,Aided,8 - 12,"HS, HSS",Chevazhur,,,,
766,17073,A. K. K. R. Boys. H. S.Chelannur ,Aided,5 - 10,"UP, HS",Chevazhur,,,,
767,17074,A K K R Girls H S S. Chelannur ,Aided,5 - 12,"UP, HS, HSS",Chevazhur,,,,
768,17086,C. M. M. H. S. Thalakkulathur ,Aided,8 - 12,"HS, HSS",Chevazhur,,,,
769,17107,Sree narayana Trusts. H. S. S. ,Aided,8 - 12,"HS, HSS",Chevazhur,,,,
770,17413,A. L. P. S. Muthuvad ,Aided,1 - 4,LP,Chevazhur,,,,
771,17414,A. L. P. S. Palath ,Aided,1 - 4,LP,Chevazhur,,,,
772,17415,A. M. L. P. S. Kottamparamba ,Aided,1 - 4,LP,Chevazhur,,,,
773,17416,A. P. L. P. S. Elathur ,Aided,1 - 4,LP,Chevazhur,,,,
774,17417,A. L. P. S. Badirur ,Aided,1 - 4,LP,Chevazhur,,,,
775,17418,B. E. M.A.L. P. S. Annasseri ,Aided,1 - 4,LP,Chevazhur,,,,
776,17419,A. L. P. S. Chelannur ,Aided,1 - 4,LP,Chevazhur,,,,
777,17420,A. M. L. P. S. ChelavurMuzhikkal ,Aided,1 - 4,LP,Chevazhur,,,,
778,17421,Edakkad Union A. L. P. S.  ,Aided,1 - 4,LP,Chevazhur,,,,
779,17422,National A. L. P. S. Elathur ,Aided,1 - 4,LP,Chevazhur,,,,
780,17423,H. I. L. P. S. Eranhikal ,Aided,1 - 4,LP,Chevazhur,,,,
781,17424,J. D. T. Islam .A.L. P. S.Merikkunnu ,Aided,1 - 4,LP,Chevazhur,,,,
782,17425,A. M. L. P. S. Kandannur ,Aided,1 - 4,LP,Chevazhur,,,,
783,17426,A. L. P. S. Karannur ,Aided,1 - 4,LP,Chevazhur,,,,
784,17427,A. L. P. S. Makkada ,Aided,1 - 4,LP,Chevazhur,,,,
785,17428,A. L. P. S. Makkada Perinchila ,Aided,1 - 4,LP,Chevazhur,,,,
786,17429,A. L. P. S. Makkada West ,Aided,1 - 4,LP,Chevazhur,,,,
787,17430,A. L. P. S. Manathanath ,Aided,1 - 4,LP,Chevazhur,,,,
788,17431,A. M. L. P. S. Mayanad ,Aided,1 - 4,LP,Chevazhur,,,,
789,17432,M. I. L. P. S. Annasseri ,Aided,1 - 4,LP,Chevazhur,,,,
790,17433,M. I. L. P. S. Kakkodi ,Aided,1 - 4,LP,Chevazhur,,,,
791,17434,A. L. P. S. Mokavoor ,Aided,1 - 4,LP,Chevazhur,,,,
792,17435,A. L. P. S. Morikkara ,Aided,1 - 4,LP,Chevazhur,,,,
793,17436,A. M. L. P. S. Puthiyanirathu ,Aided,1 - 4,LP,Chevazhur,,,,
794,17437,St. Filomina's A. L. P. S.  ,Aided,1 - 4,LP,Chevazhur,,,,
795,17438,Sethu Sitharam A. L. P. S.  ,Aided,1 - 4,LP,Chevazhur,,,,
796,17439,Sreekrishna Sahayam A .L. P.S ,Aided,1 - 4,LP,Chevazhur,,,,
797,17440,Sreekumarasram A. L. P. S.  ,Aided,1 - 4,LP,Chevazhur,,,,
